resuming from observation id 58,100,202 (1,506,000 rows kept)
6,341,161 annotated observations in bbox

  40,400/6,341,161 scanned, 1,546,400 kept, pace 1.05s, 0 throttled
  40,600/6,341,161 scanned, 1,546,600 kept, pace 1.05s, 0 throttled
  40,800/6,341,161 scanned, 1,546,800 kept, pace 1.05s, 0 throttled
  41,000/6,341,161 scanned, 1,547,000 kept, pace 1.05s, 0 throttled
  41,200/6,341,161 scanned, 1,547,200 kept, pace 1.05s, 0 throttled
  41,400/6,341,161 scanned, 1,547,400 kept, pace 1.05s, 0 throttled
  41,600/6,341,161 scanned, 1,547,600 kept, pace 1.05s, 0 throttled
  41,800/6,341,161 scanned, 1,547,800 kept, pace 1.05s, 0 throttled
  42,000/6,341,161 scanned, 1,548,000 kept, pace 1.05s, 0 throttled
  42,200/6,341,161 scanned, 1,548,200 kept, pace 1.05s, 0 throttled
  42,400/6,341,161 scanned, 1,548,400 kept, pace 1.05s, 0 throttled
  42,600/6,341,161 scanned, 1,548,600 kept, pace 1.05s, 0 throttled
  42,800/6,341,161 scanned, 1,548,800 kept, pace 1.05s, 0 throttled
  43,000/6,341,161 scanned, 1,549,000 kept, pace 1.05s, 0 throttled
  43,200/6,341,161 scanned, 1,549,200 kept, pace 1.05s, 0 throttled
  43,400/6,341,161 scanned, 1,549,400 kept, pace 1.05s, 0 throttled
  43,600/6,341,161 scanned, 1,549,600 kept, pace 1.05s, 0 throttled
  43,800/6,341,161 scanned, 1,549,800 kept, pace 1.05s, 0 throttled
  44,000/6,341,161 scanned, 1,550,000 kept, pace 1.05s, 0 throttled
  44,200/6,341,161 scanned, 1,550,200 kept, pace 1.05s, 0 throttled
  44,400/6,341,161 scanned, 1,550,400 kept, pace 1.05s, 0 throttled
  44,600/6,341,161 scanned, 1,550,600 kept, pace 1.05s, 0 throttled
  44,800/6,341,161 scanned, 1,550,800 kept, pace 1.05s, 0 throttled
  45,000/6,341,161 scanned, 1,551,000 kept, pace 1.05s, 0 throttled
  45,200/6,341,161 scanned, 1,551,200 kept, pace 1.05s, 0 throttled
  45,400/6,341,161 scanned, 1,551,400 kept, pace 1.05s, 0 throttled
  45,600/6,341,161 scanned, 1,551,600 kept, pace 1.05s, 0 throttled
  45,800/6,341,161 scanned, 1,551,800 kept, pace 1.05s, 0 throttled
  46,000/6,341,161 scanned, 1,552,000 kept, pace 1.05s, 0 throttled
  46,200/6,341,161 scanned, 1,552,200 kept, pace 1.05s, 0 throttled
  46,400/6,341,161 scanned, 1,552,400 kept, pace 1.05s, 0 throttled
  46,600/6,341,161 scanned, 1,552,600 kept, pace 1.05s, 0 throttled
  46,800/6,341,161 scanned, 1,552,800 kept, pace 1.05s, 0 throttled
  47,000/6,341,161 scanned, 1,553,000 kept, pace 1.05s, 0 throttled
  47,200/6,341,161 scanned, 1,553,200 kept, pace 1.05s, 0 throttled
  47,400/6,341,161 scanned, 1,553,400 kept, pace 1.05s, 0 throttled
  47,600/6,341,161 scanned, 1,553,600 kept, pace 1.05s, 0 throttled
  47,800/6,341,161 scanned, 1,553,800 kept, pace 1.05s, 0 throttled
  48,000/6,341,161 scanned, 1,554,000 kept, pace 1.05s, 0 throttled
  48,200/6,341,161 scanned, 1,554,200 kept, pace 1.05s, 0 throttled
  48,400/6,341,161 scanned, 1,554,400 kept, pace 1.05s, 0 throttled
  48,600/6,341,161 scanned, 1,554,600 kept, pace 1.05s, 0 throttled
  48,800/6,341,161 scanned, 1,554,800 kept, pace 1.05s, 0 throttled
  49,000/6,341,161 scanned, 1,555,000 kept, pace 1.05s, 0 throttled
  49,200/6,341,161 scanned, 1,555,200 kept, pace 1.05s, 0 throttled
  49,400/6,341,161 scanned, 1,555,400 kept, pace 1.05s, 0 throttled
  49,600/6,341,161 scanned, 1,555,600 kept, pace 1.05s, 0 throttled
  49,800/6,341,161 scanned, 1,555,800 kept, pace 1.05s, 0 throttled
  50,000/6,341,161 scanned, 1,556,000 kept, pace 1.05s, 0 throttled
  50,200/6,341,161 scanned, 1,556,200 kept, pace 1.05s, 0 throttled
  50,400/6,341,161 scanned, 1,556,400 kept, pace 1.05s, 0 throttled
  50,600/6,341,161 scanned, 1,556,600 kept, pace 1.05s, 0 throttled
  50,800/6,341,161 scanned, 1,556,800 kept, pace 1.05s, 0 throttled
  51,000/6,341,161 scanned, 1,557,000 kept, pace 1.05s, 0 throttled
  51,200/6,341,161 scanned, 1,557,200 kept, pace 1.05s, 0 throttled
  51,400/6,341,161 scanned, 1,557,400 kept, pace 1.05s, 0 throttled
  51,600/6,341,161 scanned, 1,557,600 kept, pace 1.05s, 0 throttled
  51,800/6,341,161 scanned, 1,557,800 kept, pace 1.05s, 0 throttled
  52,000/6,341,161 scanned, 1,558,000 kept, pace 1.05s, 0 throttled
  52,200/6,341,161 scanned, 1,558,200 kept, pace 1.05s, 0 throttled
  52,400/6,341,161 scanned, 1,558,400 kept, pace 1.05s, 0 throttled
  52,600/6,341,161 scanned, 1,558,600 kept, pace 1.05s, 0 throttled
  52,800/6,341,161 scanned, 1,558,800 kept, pace 1.05s, 0 throttled
  53,000/6,341,161 scanned, 1,559,000 kept, pace 1.05s, 0 throttled
  53,200/6,341,161 scanned, 1,559,200 kept, pace 1.05s, 0 throttled
  53,400/6,341,161 scanned, 1,559,400 kept, pace 1.05s, 0 throttled
  53,600/6,341,161 scanned, 1,559,600 kept, pace 1.05s, 0 throttled
  53,800/6,341,161 scanned, 1,559,800 kept, pace 1.05s, 0 throttled
  54,000/6,341,161 scanned, 1,560,000 kept, pace 1.05s, 0 throttled
  54,200/6,341,161 scanned, 1,560,200 kept, pace 1.05s, 0 throttled
  54,400/6,341,161 scanned, 1,560,400 kept, pace 1.05s, 0 throttled
  54,600/6,341,161 scanned, 1,560,600 kept, pace 1.05s, 0 throttled
  54,800/6,341,161 scanned, 1,560,800 kept, pace 1.05s, 0 throttled
  55,000/6,341,161 scanned, 1,561,000 kept, pace 1.05s, 0 throttled
  55,200/6,341,161 scanned, 1,561,200 kept, pace 1.05s, 0 throttled
  55,400/6,341,161 scanned, 1,561,400 kept, pace 1.05s, 0 throttled
  55,600/6,341,161 scanned, 1,561,600 kept, pace 1.05s, 0 throttled
  55,800/6,341,161 scanned, 1,561,800 kept, pace 1.05s, 0 throttled
  56,000/6,341,161 scanned, 1,562,000 kept, pace 1.05s, 0 throttled
  56,200/6,341,161 scanned, 1,562,200 kept, pace 1.05s, 0 throttled
  56,400/6,341,161 scanned, 1,562,400 kept, pace 1.05s, 0 throttled
  56,600/6,341,161 scanned, 1,562,600 kept, pace 1.05s, 0 throttled
  56,800/6,341,161 scanned, 1,562,800 kept, pace 1.05s, 0 throttled
  57,000/6,341,161 scanned, 1,563,000 kept, pace 1.05s, 0 throttled
  57,200/6,341,161 scanned, 1,563,200 kept, pace 1.05s, 0 throttled
  57,400/6,341,161 scanned, 1,563,400 kept, pace 1.05s, 0 throttled
  57,600/6,341,161 scanned, 1,563,600 kept, pace 1.05s, 0 throttled
  57,800/6,341,161 scanned, 1,563,800 kept, pace 1.05s, 0 throttled
  58,000/6,341,161 scanned, 1,564,000 kept, pace 1.05s, 0 throttled
  58,200/6,341,161 scanned, 1,564,200 kept, pace 1.05s, 0 throttled
  58,400/6,341,161 scanned, 1,564,400 kept, pace 1.05s, 0 throttled
  58,600/6,341,161 scanned, 1,564,600 kept, pace 1.05s, 0 throttled
  58,800/6,341,161 scanned, 1,564,800 kept, pace 1.05s, 0 throttled
  59,000/6,341,161 scanned, 1,565,000 kept, pace 1.05s, 0 throttled
  59,200/6,341,161 scanned, 1,565,200 kept, pace 1.05s, 0 throttled
  59,400/6,341,161 scanned, 1,565,400 kept, pace 1.05s, 0 throttled
